hour_of_year,PALOVRDE_ASR-APND LMP,SMD4_ASR-APND LMP,SMD5_ASR-APND LMP,SMD6_ASR-APND LMP,SMD7_ASR-APND LMP,SMD8_ASR-APND LMP,SMD9_ASR-APND LMP,SMDA_ASR-APND LMP,SMDB_ASR-APND LMP,SMDC_ASR-APND LMP,SMDG_ASR-APND LMP,SMDH_ASR-APND LMP,SUMMIT_ASR-APND LMP,PALOVRDE_ASR-APND (Congestion),SMD4_ASR-APND (Congestion),SMD5_ASR-APND (Congestion),SMD6_ASR-APND (Congestion),SMD7_ASR-APND (Congestion),SMD8_ASR-APND (Congestion),SMD9_ASR-APND (Congestion),SMDA_ASR-APND (Congestion),SMDB_ASR-APND (Congestion),SMDC_ASR-APND (Congestion),SMDG_ASR-APND (Congestion),SMDH_ASR-APND (Congestion),SUMMIT_ASR-APND (Congestion),PALOVRDE_ASR-APND (Energy),SMD4_ASR-APND (Energy),SMD5_ASR-APND (Energy),SMD6_ASR-APND (Energy),SMD7_ASR-APND (Energy),SMD8_ASR-APND (Energy),SMD9_ASR-APND (Energy),SMDA_ASR-APND (Energy),SMDB_ASR-APND (Energy),SMDC_ASR-APND (Energy),SMDG_ASR-APND (Energy),SMDH_ASR-APND (Energy),SUMMIT_ASR-APND (Energy),PALOVRDE_ASR-APND (Loss),SMD4_ASR-APND (Loss),SMD5_ASR-APND (Loss),SMD6_ASR-APND (Loss),SMD7_ASR-APND (Loss),SMD8_ASR-APND (Loss),SMD9_ASR-APND (Loss),SMDA_ASR-APND (Loss),SMDB_ASR-APND (Loss),SMDC_ASR-APND (Loss),SMDG_ASR-APND (Loss),SMDH_ASR-APND (Loss),SUMMIT_ASR-APND (Loss)
4286,57.01621,58.6353,58.6353,58.6353,58.6353,58.6353,58.6353,58.6353,58.6353,58.6353,58.6353,58.6353,57.49571,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,55.25777,55.25777,55.25777,55.25777,55.25777,55.25777,55.25777,55.25777,55.25777,55.25777,55.25777,55.25777,55.25777,1.75724,3.37632,3.37632,3.37632,3.37632,3.37632,3.37632,3.37632,3.37632,3.37632,3.37632,3.37632,2.23794
4287,53.95917,66.01848,66.01848,66.01848,66.01848,66.01848,66.01848,66.01848,66.01848,66.01848,66.01848,66.01848,51.66424,10.30562,21.43349,21.43349,21.43349,21.43349,21.43349,21.43349,21.43349,21.43349,21.43349,21.43349,21.43349,6.99464,42.33684,42.33684,42.33684,42.33684,42.33684,42.33684,42.33684,42.33684,42.33684,42.33684,42.33684,42.33684,42.33684,1.31671,2.24815,2.24815,2.24815,2.24815,2.24815,2.24815,2.24815,2.24815,2.24815,2.24815,2.24815,2.33276
4288,56.23585,62.11833,62.11833,62.11833,62.11833,62.11833,62.11833,62.11833,62.11833,62.11833,62.11833,62.11833,54.81553,3.94272,8.66278,8.66278,8.66278,8.66278,8.66278,8.66278,8.66278,8.66278,8.66278,8.66278,8.66278,2.77117,50.76013,50.76013,50.76013,50.76013,50.76013,50.76013,50.76013,50.76013,50.76013,50.76013,50.76013,50.76013,50.76013,1.53299,2.69543,2.69543,2.69543,2.69543,2.69543,2.69543,2.69543,2.69543,2.69543,2.69543,2.69543,1.28423
4289,58.58398,74.7833,74.7833,74.7833,74.7833,74.7833,74.7833,74.7833,74.7833,74.7833,74.7833,74.7833,70.76488,12.46835,28.08545,28.08545,28.08545,28.08545,28.08545,28.08545,28.08545,28.08545,28.08545,28.08545,28.08545,24.84635,44.78546,44.78546,44.78546,44.78546,44.78546,44.78546,44.78546,44.78546,44.78546,44.78546,44.78546,44.78546,44.78546,1.33016,1.91239,1.91239,1.91239,1.91239,1.91239,1.91239,1.91239,1.91239,1.91239,1.91239,1.91239,1.13307
4290,74.7682,101.26932,101.26932,101.26932,101.26932,101.26932,101.26932,101.26932,101.26932,101.26932,101.26932,101.26932,71.11371,17.1627,42.85206,42.85206,42.85206,42.85206,42.85206,42.85206,42.85206,42.85206,42.85206,42.85206,42.85206,12.98958,56.37096,56.37096,56.37096,56.37096,56.37096,56.37096,56.37096,56.37096,56.37096,56.37096,56.37096,56.37096,56.37096,1.23454,2.04631,2.04631,2.04631,2.04631,2.04631,2.04631,2.04631,2.04631,2.04631,2.04631,2.04631,1.75317
4291,75.76858,100.61056,100.61056,100.61056,100.61056,100.61056,100.61056,100.61056,100.61056,100.61056,100.61056,100.61056,72.48406,14.95436,39.79634,39.79634,39.79634,39.79634,39.79634,39.79634,39.79634,39.79634,39.79634,39.79634,39.79634,11.66983,60.81422,60.81422,60.81422,60.81422,60.81422,60.81422,60.81422,60.81422,60.81422,60.81422,60.81422,60.81422,60.81422,0,0,0,0,0,0,0,0,0,0,0,0,0
4292,59.33645,104.28042,104.28042,104.28042,104.28042,104.28042,104.28042,104.28042,104.28042,104.28042,104.28042,104.28042,71.22887,1.35481,46.29879,46.29879,46.29879,46.29879,46.29879,46.29879,46.29879,46.29879,46.29879,46.29879,46.29879,13.24724,57.98163,57.98163,57.98163,57.98163,57.98163,57.98163,57.98163,57.98163,57.98163,57.98163,57.98163,57.98163,57.98163,0,0,0,0,0,0,0,0,0,0,0,0,0
4293,56.47803,86.15766,86.15766,86.15766,86.15766,86.15766,86.15766,86.15766,86.15766,86.15766,86.15766,86.15766,68.80034,-8.43647,18.50266,18.50266,18.50266,18.50266,18.50266,18.50266,18.50266,18.50266,18.50266,18.50266,18.50266,5.54205,63.62731,63.62731,63.62731,63.62731,63.62731,63.62731,63.62731,63.62731,63.62731,63.62731,63.62731,63.62731,63.62731,1.28719,4.02768,4.02768,4.02768,4.02768,4.02768,4.02768,4.02768,4.02768,4.02768,4.02768,4.02768,-0.36903
4294,75.73041,91.48505,91.48505,91.48505,91.48505,91.48505,91.48505,91.48505,91.48505,91.48505,91.48505,91.48505,68.9321,4.42942,10.17355,10.17355,10.17355,10.17355,10.17355,10.17355,10.17355,10.17355,10.17355,10.17355,10.17355,2.62101,77.38788,77.38788,77.38788,77.38788,77.38788,77.38788,77.38788,77.38788,77.38788,77.38788,77.38788,77.38788,77.38788,2.6631,3.92363,3.92363,3.92363,3.92363,3.92363,3.92363,3.92363,3.92363,3.92363,3.92363,3.92363,-2.32678
4295,83.3378,86.32077,86.32077,86.32077,86.32077,86.32077,86.32077,86.32077,86.32077,86.32077,86.32077,86.32077,61.75039,20.13951,12.21315,12.21315,12.21315,12.21315,12.21315,12.21315,12.21315,12.21315,12.21315,12.21315,12.21315,2.53717,70.72682,70.72682,70.72682,70.72682,70.72682,70.72682,70.72682,70.72682,70.72682,70.72682,70.72682,70.72682,70.72682,2.54147,3.3808,3.3808,3.3808,3.3808,3.3808,3.3808,3.3808,3.3808,3.3808,3.3808,3.3808,-1.4436
4296,56.1313,95.26369,95.26369,95.26369,95.26369,95.26369,95.26369,95.26369,95.26369,95.26369,95.26369,95.26369,80.49163,-28.82398,7.29382,7.29382,7.29382,7.29382,7.29382,7.29382,7.29382,7.29382,7.29382,7.29382,7.29382,-0.48007,83.70902,83.70902,83.70902,83.70902,83.70902,83.70902,83.70902,83.70902,83.70902,83.70902,83.70902,83.70902,83.70902,1.24626,4.26085,4.26085,4.26085,4.26085,4.26085,4.26085,4.26085,4.26085,4.26085,4.26085,4.26085,-2.73732
4297,49.93124,81.17199,81.17199,81.17199,81.17199,81.17199,81.17199,81.17199,81.17199,81.17199,81.17199,81.17199,-97.66302,-24.3882,-6.51344,-6.51344,-6.51344,-6.51344,-6.51344,-6.51344,-6.51344,-6.51344,-6.51344,-6.51344,-6.51344,-168.27774,83.10621,83.10621,83.10621,83.10621,83.10621,83.10621,83.10621,83.10621,83.10621,83.10621,83.10621,83.10621,83.10621,1.60323,4.57922,4.57922,4.57922,4.57922,4.57922,4.57922,4.57922,4.57922,4.57922,4.57922,4.57922,-2.1015
4298,46.39208,65.9008,65.9008,65.9008,65.9008,65.9008,65.9008,65.9008,65.9008,65.9008,65.9008,65.9008,-334.55252,-5.69312,1.92933,1.92933,1.92933,1.92933,1.92933,1.92933,1.92933,1.92933,1.92933,1.92933,1.92933,-383.78992,60.80933,60.80933,60.80933,60.80933,60.80933,60.80933,60.80933,60.80933,60.80933,60.80933,60.80933,60.80933,60.80933,1.34587,3.16215,3.16215,3.16215,3.16215,3.16215,3.16215,3.16215,3.16215,3.16215,3.16215,3.16215,-1.50192
4299,47.89478,67.67717,67.67717,67.67717,67.67717,67.67717,67.67717,67.67717,67.67717,67.67717,67.67717,67.67717,-180.69653,-3.60126,16.18112,16.18112,16.18112,16.18112,16.18112,16.18112,16.18112,16.18112,16.18112,16.18112,16.18112,-232.1926,51.49605,51.49605,51.49605,51.49605,51.49605,51.49605,51.49605,51.49605,51.49605,51.49605,51.49605,51.49605,51.49605,0,0,0,0,0,0,0,0,0,0,0,0,0
4300,42.25286,61.61674,61.61674,61.61674,61.61674,61.61674,61.61674,61.61674,61.61674,61.61674,61.61674,61.61674,54.36323,-3.40506,14.77548,14.77548,14.77548,14.77548,14.77548,14.77548,14.77548,14.77548,14.77548,14.77548,14.77548,9.85742,44.48357,44.48357,44.48357,44.48357,44.48357,44.48357,44.48357,44.48357,44.48357,44.48357,44.48357,44.48357,44.48357,1.17435,2.35769,2.35769,2.35769,2.35769,2.35769,2.35769,2.35769,2.35769,2.35769,2.35769,2.35769,0.02224
4301,43.9591,64.19969,64.19969,64.19969,64.19969,64.19969,64.19969,64.19969,64.19969,64.19969,64.19969,64.19969,49.99725,-1.16545,19.59897,19.59897,19.59897,19.59897,19.59897,19.59897,19.59897,19.59897,19.59897,19.59897,19.59897,8.13305,43.02592,43.02592,43.02592,43.02592,43.02592,43.02592,43.02592,43.02592,43.02592,43.02592,43.02592,43.02592,43.02592,2.09863,1.57479,1.57479,1.57479,1.57479,1.57479,1.57479,1.57479,1.57479,1.57479,1.57479,1.57479,-1.16173
4302,55.31975,64.1396,64.1396,64.1396,64.1396,64.1396,64.1396,64.1396,64.1396,64.1396,64.1396,64.1396,51.09895,7.49064,16.55136,16.55136,16.55136,16.55136,16.55136,16.55136,16.55136,16.55136,16.55136,16.55136,16.55136,6.88007,45.46932,45.46932,45.46932,45.46932,45.46932,45.46932,45.46932,45.46932,45.46932,45.46932,45.46932,45.46932,45.46932,2.3598,2.11893,2.11893,2.11893,2.11893,2.11893,2.11893,2.11893,2.11893,2.11893,2.11893,2.11893,-1.25044
4303,54.28168,60.31924,60.31924,60.31924,60.31924,60.31924,60.31924,60.31924,60.31924,60.31924,60.31924,60.31924,50.65194,4.82215,10.55227,10.55227,10.55227,10.55227,10.55227,10.55227,10.55227,10.55227,10.55227,10.55227,10.55227,4.43576,47.27998,47.27998,47.27998,47.27998,47.27998,47.27998,47.27998,47.27998,47.27998,47.27998,47.27998,47.27998,47.27998,2.17955,2.48699,2.48699,2.48699,2.48699,2.48699,2.48699,2.48699,2.48699,2.48699,2.48699,2.48699,-1.0638
4304,49.75541,65.55873,65.55873,65.55873,65.55873,65.55873,65.55873,65.55873,65.55873,65.55873,65.55873,65.55873,49.00991,8.39381,23.93748,23.93748,23.93748,23.93748,23.93748,23.93748,23.93748,23.93748,23.93748,23.93748,23.93748,10.16191,39.61659,39.61659,39.61659,39.61659,39.61659,39.61659,39.61659,39.61659,39.61659,39.61659,39.61659,39.61659,39.61659,1.745,2.00466,2.00466,2.00466,2.00466,2.00466,2.00466,2.00466,2.00466,2.00466,2.00466,2.00466,-0.76859
4305,53.32555,65.69003,65.69003,65.69003,65.69003,65.69003,65.69003,65.69003,65.69003,65.69003,65.69003,65.69003,50.95428,8.67212,20.964,20.964,20.964,20.964,20.964,20.964,20.964,20.964,20.964,20.964,20.964,8.86352,42.64084,42.64084,42.64084,42.64084,42.64084,42.64084,42.64084,42.64084,42.64084,42.64084,42.64084,42.64084,42.64084,2.01259,2.0852,2.0852,2.0852,2.0852,2.0852,2.0852,2.0852,2.0852,2.0852,2.0852,2.0852,-0.55008
4306,53.67892,66.73422,66.73422,66.73422,66.73422,66.73422,66.73422,66.73422,66.73422,66.73422,66.73422,66.73422,54.92955,3.68564,17.08217,17.08217,17.08217,17.08217,17.08217,17.08217,17.08217,17.08217,17.08217,17.08217,17.08217,7.30194,47.40952,47.40952,47.40952,47.40952,47.40952,47.40952,47.40952,47.40952,47.40952,47.40952,47.40952,47.40952,47.40952,2.58375,2.24253,2.24253,2.24253,2.24253,2.24253,2.24253,2.24253,2.24253,2.24253,2.24253,2.24253,0.21809
4307,48.26932,46.91312,46.91312,46.91312,46.91312,46.91312,46.91312,46.91312,46.91312,46.91312,46.91312,46.91312,42.79377,2.22788,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,43.96199,43.96199,43.96199,43.96199,43.96199,43.96199,43.96199,43.96199,43.96199,43.96199,43.96199,43.96199,43.96199,2.07946,2.94993,2.94993,2.94993,2.94993,2.94993,2.94993,2.94993,2.94993,2.94993,2.94993,2.94993,-1.16942
4308,45.13548,14.93003,14.93003,14.93003,14.93003,14.93003,14.93003,14.93003,14.93003,14.93003,14.93003,14.93003,36.87191,-14.29212,-47.0628,-47.0628,-47.0628,-47.0628,-47.0628,-47.0628,-47.0628,-47.0628,-47.0628,-47.0628,-47.0628,-20.29738,57.90467,57.90467,57.90467,57.90467,57.90467,57.90467,57.90467,57.90467,57.90467,57.90467,57.90467,57.90467,57.90467,1.52292,4.08815,4.08815,4.08815,4.08815,4.08815,4.08815,4.08815,4.08815,4.08815,4.08815,4.08815,-0.73539
4309,39.22824,40.72447,40.72447,40.72447,40.72447,40.72447,40.72447,40.72447,40.72447,40.72447,40.72447,40.72447,38.80925,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0004,38.36382,38.36382,38.36382,38.36382,38.36382,38.36382,38.36382,38.36382,38.36382,38.36382,38.36382,38.36382,38.36382,0.86321,2.35945,2.35945,2.35945,2.35945,2.35945,2.35945,2.35945,2.35945,2.35945,2.35945,2.35945,0.44503
4310,42.7809,44.73299,44.73299,44.73299,44.73299,44.73299,44.73299,44.73299,44.73299,44.73299,44.73299,44.73299,43.95559,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,42.34354,42.34354,42.34354,42.34354,42.34354,42.34354,42.34354,42.34354,42.34354,42.34354,42.34354,42.34354,42.34354,0.43615,2.38824,2.38824,2.38824,2.38824,2.38824,2.38824,2.38824,2.38824,2.38824,2.38824,2.38824,1.61324
4311,47.86883,48.98282,48.98282,48.98282,48.98282,48.98282,48.98282,48.98282,48.98282,48.98282,48.98282,48.98282,48.93457,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,47.00276,47.00276,47.00276,47.00276,47.00276,47.00276,47.00276,47.00276,47.00276,47.00276,47.00276,47.00276,47.00276,0.86487,1.97887,1.97887,1.97887,1.97887,1.97887,1.97887,1.97887,1.97887,1.97887,1.97887,1.97887,1.93181
4312,55.39258,56.22825,56.22825,56.22825,56.22825,56.22825,56.22825,56.22825,56.22825,56.22825,56.22825,56.22825,57.16991,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,54.26269,54.26269,54.26269,54.26269,54.26269,54.26269,54.26269,54.26269,54.26269,54.26269,54.26269,54.26269,54.26269,1.12869,1.96435,1.96435,1.96435,1.96435,1.96435,1.96435,1.96435,1.96435,1.96435,1.96435,1.96435,2.90842
4313,71.16884,63.59826,63.59826,63.59826,63.59826,63.59826,63.59826,63.59826,63.59826,63.59826,63.59826,63.59826,65.06792,4.27066,-5.55026,-5.55026,-5.55026,-5.55026,-5.55026,-5.55026,-5.55026,-5.55026,-5.55026,-5.55026,-5.55026,-2.94542,66.38041,66.38041,66.38041,66.38041,66.38041,66.38041,66.38041,66.38041,66.38041,66.38041,66.38041,66.38041,66.38041,0.51778,2.76811,2.76811,2.76811,2.76811,2.76811,2.76811,2.76811,2.76811,2.76811,2.76811,2.76811,1.63293
4314,99.49204,79.70007,79.70007,79.70007,79.70007,79.70007,79.70007,79.70007,79.70007,79.70007,79.70007,79.70007,84.15741,9.01697,-12.06063,-12.06063,-12.06063,-12.06063,-12.06063,-12.06063,-12.06063,-12.06063,-12.06063,-12.06063,-12.06063,-6.46047,89.27871,89.27871,89.27871,89.27871,89.27871,89.27871,89.27871,89.27871,89.27871,89.27871,89.27871,89.27871,89.27871,1.19635,2.48198,2.48198,2.48198,2.48198,2.48198,2.48198,2.48198,2.48198,2.48198,2.48198,2.48198,1.33916
4315,123.08829,64.10989,64.10989,64.10989,64.10989,64.10989,64.10989,64.10989,64.10989,64.10989,64.10989,64.10989,72.90416,26.96345,-36.29211,-36.29211,-36.29211,-36.29211,-36.29211,-36.29211,-36.29211,-36.29211,-36.29211,-36.29211,-36.29211,-21.84282,95.68469,95.68469,95.68469,95.68469,95.68469,95.68469,95.68469,95.68469,95.68469,95.68469,95.68469,95.68469,95.68469,0.44015,4.71731,4.71731,4.71731,4.71731,4.71731,4.71731,4.71731,4.71731,4.71731,4.71731,4.71731,-0.93771
4316,119.01147,122.75896,122.75896,122.75896,122.75896,122.75896,122.75896,122.75896,122.75896,122.75896,122.75896,122.75896,115.43541,-0.00227,0.00244,0.00244,0.00244,0.00244,0.00244,0.00244,0.00244,0.00244,0.00244,0.00244,0.00244,-0.00041,117.69556,117.69556,117.69556,117.69556,117.69556,117.69556,117.69556,117.69556,117.69556,117.69556,117.69556,117.69556,117.69556,1.31818,5.06096,5.06096,5.06096,5.06096,5.06096,5.06096,5.06096,5.06096,5.06096,5.06096,5.06096,-2.25973
4317,103.85284,105.18431,105.18431,105.18431,105.18431,105.18431,105.18431,105.18431,105.18431,105.18431,105.18431,105.18431,99.01439,0.0008,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,101.60652,101.60652,101.60652,101.60652,101.60652,101.60652,101.60652,101.60652,101.60652,101.60652,101.60652,101.60652,101.60652,2.24552,3.57659,3.57659,3.57659,3.57659,3.57659,3.57659,3.57659,3.57659,3.57659,3.57659,3.57659,-2.59094
4318,110.90645,115.82461,115.82461,115.82461,115.82461,115.82461,115.82461,115.82461,115.82461,115.82461,115.82461,115.82461,105.06014,-1.53659,1.72512,1.72512,1.72512,1.72512,1.72512,1.72512,1.72512,1.72512,1.72512,1.72512,1.72512,1.08867,109.50043,109.50043,109.50043,109.50043,109.50043,109.50043,109.50043,109.50043,109.50043,109.50043,109.50043,109.50043,109.50043,3.41261,4.59907,4.59907,4.59907,4.59907,4.59907,4.59907,4.59907,4.59907,4.59907,4.59907,4.59907,-5.05896
4319,140.88399,143.79459,143.79459,143.79459,143.79459,143.79459,143.79459,143.79459,143.79459,143.79459,143.79459,143.79459,-147.86807,-0.0012,2.96348,2.96348,2.96348,2.96348,2.96348,2.96348,2.96348,2.96348,2.96348,2.96348,2.96348,-278.97546,135.4275,135.4275,135.4275,135.4275,135.4275,135.4275,135.4275,135.4275,135.4275,135.4275,135.4275,135.4275,135.4275,5.45768,5.40361,5.40361,5.40361,5.40361,5.40361,5.40361,5.40361,5.40361,5.40361,5.40361,5.40361,-4.3201
4320,346.56665,115.93571,115.93571,115.93571,115.93571,115.93571,115.93571,115.93571,115.93571,115.93571,115.93571,115.93571,-313.4226,117.58039,-115.69853,-115.69853,-115.69853,-115.69853,-115.69853,-115.69853,-115.69853,-115.69853,-115.69853,-115.69853,-115.69853,-526.6749,218.83247,218.83247,218.83247,218.83247,218.83247,218.83247,218.83247,218.83247,218.83247,218.83247,218.83247,218.83247,218.83247,10.15377,12.80177,12.80177,12.80177,12.80177,12.80177,12.80177,12.80177,12.80177,12.80177,12.80177,12.80177,-5.5802
4321,230.71902,373.08035,373.08035,373.08035,373.08035,373.08035,373.08035,373.08035,373.08035,373.08035,373.08035,373.08035,236.23436,126.07964,266.70828,266.70828,266.70828,266.70828,266.70828,266.70828,266.70828,266.70828,266.70828,266.70828,266.70828,134.56825,102.52735,102.52735,102.52735,102.52735,102.52735,102.52735,102.52735,102.52735,102.52735,102.52735,102.52735,102.52735,102.52735,2.11204,3.84473,3.84473,3.84473,3.84473,3.84473,3.84473,3.84473,3.84473,3.84473,3.84473,3.84473,-0.86124
4322,97.23746,99.77013,99.77013,99.77013,99.77013,99.77013,99.77013,99.77013,99.77013,99.77013,99.77013,99.77013,-15.31509,-0.00057,0.00252,0.00252,0.00252,0.00252,0.00252,0.00252,0.00252,0.00252,0.00252,0.00252,0.00252,-108.35631,94.73701,94.73701,94.73701,94.73701,94.73701,94.73701,94.73701,94.73701,94.73701,94.73701,94.73701,94.73701,94.73701,2.50103,5.0306,5.0306,5.0306,5.0306,5.0306,5.0306,5.0306,5.0306,5.0306,5.0306,5.0306,-1.69579
4323,80.96634,85.96892,85.96892,85.96892,85.96892,85.96892,85.96892,85.96892,85.96892,85.96892,85.96892,85.96892,76.53615,5.47441,11.30087,11.30087,11.30087,11.30087,11.30087,11.30087,11.30087,11.30087,11.30087,11.30087,11.30087,5.92362,71.65148,71.65148,71.65148,71.65148,71.65148,71.65148,71.65148,71.65148,71.65148,71.65148,71.65148,71.65148,71.65148,3.84045,3.01658,3.01658,3.01658,3.01658,3.01658,3.01658,3.01658,3.01658,3.01658,3.01658,3.01658,-1.03895
4324,47.20489,62.16931,62.16931,62.16931,62.16931,62.16931,62.16931,62.16931,62.16931,62.16931,62.16931,62.16931,117.15452,-1.62304,12.58077,12.58077,12.58077,12.58077,12.58077,12.58077,12.58077,12.58077,12.58077,12.58077,12.58077,69.68202,47.23162,47.23162,47.23162,47.23162,47.23162,47.23162,47.23162,47.23162,47.23162,47.23162,47.23162,47.23162,47.23162,1.59632,2.35692,2.35692,2.35692,2.35692,2.35692,2.35692,2.35692,2.35692,2.35692,2.35692,2.35692,0.24088
4325,56.0097,72.16115,72.16115,72.16115,72.16115,72.16115,72.16115,72.16115,72.16115,72.16115,72.16115,72.16115,149.95277,15.08782,30.71337,30.71337,30.71337,30.71337,30.71337,30.71337,30.71337,30.71337,30.71337,30.71337,30.71337,109.81559,39.83443,39.83443,39.83443,39.83443,39.83443,39.83443,39.83443,39.83443,39.83443,39.83443,39.83443,39.83443,39.83443,1.08745,1.61334,1.61334,1.61334,1.61334,1.61334,1.61334,1.61334,1.61334,1.61334,1.61334,1.61334,0.30275
4326,50.95845,51.63515,51.63515,51.63515,51.63515,51.63515,51.63515,51.63515,51.63515,51.63515,51.63515,51.63515,49.22417,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,48.85409,48.85409,48.85409,48.85409,48.85409,48.85409,48.85409,48.85409,48.85409,48.85409,48.85409,48.85409,48.85409,2.10556,2.77987,2.77987,2.77987,2.77987,2.77987,2.77987,2.77987,2.77987,2.77987,2.77987,2.77987,0.37128
4327,52.77766,53.34413,53.34413,53.34413,53.34413,53.34413,53.34413,53.34413,53.34413,53.34413,53.34413,53.34413,50.60251,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,50.35195,50.35195,50.35195,50.35195,50.35195,50.35195,50.35195,50.35195,50.35195,50.35195,50.35195,50.35195,50.35195,2.42691,2.99098,2.99098,2.99098,2.99098,2.99098,2.99098,2.99098,2.99098,2.99098,2.99098,2.99098,0.25175
4328,50.02061,50.97406,50.97406,50.97406,50.97406,50.97406,50.97406,50.97406,50.97406,50.97406,50.97406,50.97406,99.64851,-0.7168,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,51.21833,48.24684,48.24684,48.24684,48.24684,48.24684,48.24684,48.24684,48.24684,48.24684,48.24684,48.24684,48.24684,48.24684,2.49057,2.72601,2.72601,2.72601,2.72601,2.72601,2.72601,2.72601,2.72601,2.72601,2.72601,2.72601,0.18333
4329,45.09411,71.56734,71.56734,71.56734,71.56734,71.56734,71.56734,71.56734,71.56734,71.56734,71.56734,71.56734,60.15404,1.07531,26.50469,26.50469,26.50469,26.50469,26.50469,26.50469,26.50469,26.50469,26.50469,26.50469,26.50469,15.90041,43.03573,43.03573,43.03573,43.03573,43.03573,43.03573,43.03573,43.03573,43.03573,43.03573,43.03573,43.03573,43.03573,0.98308,2.02693,2.02693,2.02693,2.02693,2.02693,2.02693,2.02693,2.02693,2.02693,2.02693,2.02693,1.21791
4330,44.95175,51.51662,51.51662,51.51662,51.51662,51.51662,51.51662,51.51662,51.51662,51.51662,51.51662,51.51662,130.91061,5.88561,11.58022,11.58022,11.58022,11.58022,11.58022,11.58022,11.58022,11.58022,11.58022,11.58022,11.58022,93.41898,37.66867,37.66867,37.66867,37.66867,37.66867,37.66867,37.66867,37.66867,37.66867,37.66867,37.66867,37.66867,37.66867,1.39746,2.26773,2.26773,2.26773,2.26773,2.26773,2.26773,2.26773,2.26773,2.26773,2.26773,2.26773,-0.17704
4331,38.80381,40.687,40.687,40.687,40.687,40.687,40.687,40.687,40.687,40.687,40.687,40.687,38.53974,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,38.09524,38.09524,38.09524,38.09524,38.09524,38.09524,38.09524,38.09524,38.09524,38.09524,38.09524,38.09524,38.09524,0.70857,2.59056,2.59056,2.59056,2.59056,2.59056,2.59056,2.59056,2.59056,2.59056,2.59056,2.59056,0.4457
4332,44.22799,45.92101,45.92101,45.92101,45.92101,45.92101,45.92101,45.92101,45.92101,45.92101,45.92101,45.92101,88.83558,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,43.29113,43.63336,43.63336,43.63336,43.63336,43.63336,43.63336,43.63336,43.63336,43.63336,43.63336,43.63336,43.63336,43.63336,0.59343,2.28645,2.28645,2.28645,2.28645,2.28645,2.28645,2.28645,2.28645,2.28645,2.28645,2.28645,1.91109
4333,49.46743,50.15729,50.15729,50.15729,50.15729,50.15729,50.15729,50.15729,50.15729,50.15729,50.15729,50.15729,51.57786,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,48.24088,48.24088,48.24088,48.24088,48.24088,48.24088,48.24088,48.24088,48.24088,48.24088,48.24088,48.24088,48.24088,1.22535,1.91521,1.91521,1.91521,1.91521,1.91521,1.91521,1.91521,1.91521,1.91521,1.91521,1.91521,3.33819
4334,54.22987,55.20323,55.20323,55.20323,55.20323,55.20323,55.20323,55.20323,55.20323,55.20323,55.20323,55.20323,56.61963,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0004,53.47994,53.47994,53.47994,53.47994,53.47994,53.47994,53.47994,53.47994,53.47994,53.47994,53.47994,53.47994,53.47994,0.74874,1.72209,1.72209,1.72209,1.72209,1.72209,1.72209,1.72209,1.72209,1.72209,1.72209,1.72209,3.1393
4335,56.41731,57.67288,57.67288,57.67288,57.67288,57.67288,57.67288,57.67288,57.67288,57.67288,57.67288,57.67288,58.24385,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,55.55499,55.55499,55.55499,55.55499,55.55499,55.55499,55.55499,55.55499,55.55499,55.55499,55.55499,55.55499,55.55499,0.86112,2.11669,2.11669,2.11669,2.11669,2.11669,2.11669,2.11669,2.11669,2.11669,2.11669,2.11669,2.68886
