hour_of_year,PALOVRDE_ASR-APND LMP,SMD4_ASR-APND LMP,SMD5_ASR-APND LMP,SMD6_ASR-APND LMP,SMD7_ASR-APND LMP,SMD8_ASR-APND LMP,SMD9_ASR-APND LMP,SMDA_ASR-APND LMP,SMDB_ASR-APND LMP,SMDC_ASR-APND LMP,SMDG_ASR-APND LMP,SMDH_ASR-APND LMP,SUMMIT_ASR-APND LMP,PALOVRDE_ASR-APND (Congestion),SMD4_ASR-APND (Congestion),SMD5_ASR-APND (Congestion),SMD6_ASR-APND (Congestion),SMD7_ASR-APND (Congestion),SMD8_ASR-APND (Congestion),SMD9_ASR-APND (Congestion),SMDA_ASR-APND (Congestion),SMDB_ASR-APND (Congestion),SMDC_ASR-APND (Congestion),SMDG_ASR-APND (Congestion),SMDH_ASR-APND (Congestion),SUMMIT_ASR-APND (Congestion),PALOVRDE_ASR-APND (Energy),SMD4_ASR-APND (Energy),SMD5_ASR-APND (Energy),SMD6_ASR-APND (Energy),SMD7_ASR-APND (Energy),SMD8_ASR-APND (Energy),SMD9_ASR-APND (Energy),SMDA_ASR-APND (Energy),SMDB_ASR-APND (Energy),SMDC_ASR-APND (Energy),SMDG_ASR-APND (Energy),SMDH_ASR-APND (Energy),SUMMIT_ASR-APND (Energy),PALOVRDE_ASR-APND (Loss),SMD4_ASR-APND (Loss),SMD5_ASR-APND (Loss),SMD6_ASR-APND (Loss),SMD7_ASR-APND (Loss),SMD8_ASR-APND (Loss),SMD9_ASR-APND (Loss),SMDA_ASR-APND (Loss),SMDB_ASR-APND (Loss),SMDC_ASR-APND (Loss),SMDG_ASR-APND (Loss),SMDH_ASR-APND (Loss),SUMMIT_ASR-APND (Loss)
21,67.78402,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,66.87581,0,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,-2.53135,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,-3.43836
22,61.57553,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,61.20463,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,-2.37247,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,-2.74337
23,57.60706,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,58.03433,0,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,-1.89822,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,-1.46975
24,56.18998,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,56.27582,0,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,-1.81557,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,-1.72853
25,55.25351,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,55.58142,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,-1.68539,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,-1.35509
26,52.54215,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,51.99109,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,-1.36935,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,-1.91921
27,54.1512,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,54.15,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,0,0,0,0,0,0,0,0,0,0,0,0,0
28,53.38238,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,53.25642,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,-1.8846,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,-2.01176
29,52.47771,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,51.97651,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,-1.53949,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,-2.0419
30,45.74945,69.47578,69.47578,69.47578,69.47578,69.47578,69.47578,69.47578,69.47578,69.47578,69.47578,69.47578,54.85833,-8.35298,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,67.45756,67.45756,67.45756,67.45756,67.45756,67.45756,67.45756,67.45756,67.45756,67.45756,67.45756,67.45756,67.45756,-1.61513,2.01702,2.01702,2.01702,2.01702,2.01702,2.01702,2.01702,2.01702,2.01702,2.01702,2.01702,-0.85803
31,82.86671,101.22318,101.22318,101.22318,101.22318,101.22318,101.22318,101.22318,101.22318,101.22318,101.22318,101.22318,85.06663,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,98.44577,98.44577,98.44577,98.44577,98.44577,98.44577,98.44577,98.44577,98.44577,98.44577,98.44577,98.44577,98.44577,-3.06786,2.7762,2.7762,2.7762,2.7762,2.7762,2.7762,2.7762,2.7762,2.7762,2.7762,2.7762,-0.86794
32,55.25088,62.30355,62.30355,62.30355,62.30355,62.30355,62.30355,62.30355,62.30355,62.30355,62.30355,62.30355,58.5461,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,59.41473,59.41473,59.41473,59.41473,59.41473,59.41473,59.41473,59.41473,59.41473,59.41473,59.41473,59.41473,59.41473,-4.16506,2.88761,2.88761,2.88761,2.88761,2.88761,2.88761,2.88761,2.88761,2.88761,2.88761,2.88761,-0.86744
33,24.3964,28.54239,28.54239,28.54239,28.54239,28.54239,28.54239,28.54239,28.54239,28.54239,28.54239,28.54239,27.20481,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,26.96629,26.96629,26.96629,26.96629,26.96629,26.96629,26.96629,26.96629,26.96629,26.96629,26.96629,26.96629,26.96629,-2.56989,1.5749,1.5749,1.5749,1.5749,1.5749,1.5749,1.5749,1.5749,1.5749,1.5749,1.5749,0.23731
34,17.69248,67.6263,67.6263,67.6263,67.6263,67.6263,67.6263,67.6263,67.6263,67.6263,67.6263,67.6263,42.54601,-21.00081,21.91634,21.91634,21.91634,21.91634,21.91634,21.91634,21.91634,21.91634,21.91634,21.91634,21.91634,0.0012,43.71644,43.71644,43.71644,43.71644,43.71644,43.71644,43.71644,43.71644,43.71644,43.71644,43.71644,43.71644,43.71644,-5.02316,1.99352,1.99352,1.99352,1.99352,1.99352,1.99352,1.99352,1.99352,1.99352,1.99352,1.99352,-1.17163
35,18.03131,62.54938,62.54938,62.54938,62.54938,62.54938,62.54938,62.54938,62.54938,62.54938,62.54938,62.54938,39.30162,-17.54283,20.58444,20.58444,20.58444,20.58444,20.58444,20.58444,20.58444,20.58444,20.58444,20.58444,20.58444,0.0012,40.37027,40.37027,40.37027,40.37027,40.37027,40.37027,40.37027,40.37027,40.37027,40.37027,40.37027,40.37027,40.37027,-4.79613,1.59467,1.59467,1.59467,1.59467,1.59467,1.59467,1.59467,1.59467,1.59467,1.59467,1.59467,-1.06984
36,16.67027,60.73062,60.73062,60.73062,60.73062,60.73062,60.73062,60.73062,60.73062,60.73062,60.73062,60.73062,37.88372,-17.46806,20.50314,20.50314,20.50314,20.50314,20.50314,20.50314,20.50314,20.50314,20.50314,20.50314,20.50314,0.0012,38.75849,38.75849,38.75849,38.75849,38.75849,38.75849,38.75849,38.75849,38.75849,38.75849,38.75849,38.75849,38.75849,-4.62016,1.46899,1.46899,1.46899,1.46899,1.46899,1.46899,1.46899,1.46899,1.46899,1.46899,1.46899,-0.87597
37,14.29002,59.75798,59.75798,59.75798,59.75798,59.75798,59.75798,59.75798,59.75798,59.75798,59.75798,59.75798,37.33621,-18.44036,21.01124,21.01124,21.01124,21.01124,21.01124,21.01124,21.01124,21.01124,21.01124,21.01124,21.01124,0.0012,37.34621,37.34621,37.34621,37.34621,37.34621,37.34621,37.34621,37.34621,37.34621,37.34621,37.34621,37.34621,37.34621,-4.61584,1.40053,1.40053,1.40053,1.40053,1.40053,1.40053,1.40053,1.40053,1.40053,1.40053,1.40053,-0.0112
38,25.73515,35.74915,35.74915,35.74915,35.74915,35.74915,35.74915,35.74915,35.74915,35.74915,35.74915,35.74915,32.40594,-2.63044,2.25238,2.25238,2.25238,2.25238,2.25238,2.25238,2.25238,2.25238,2.25238,2.25238,2.25238,0.80888,32.2518,32.2518,32.2518,32.2518,32.2518,32.2518,32.2518,32.2518,32.2518,32.2518,32.2518,32.2518,32.2518,-3.8862,1.24497,1.24497,1.24497,1.24497,1.24497,1.24497,1.24497,1.24497,1.24497,1.24497,1.24497,-0.65474
39,31.44127,80.93415,80.93415,80.93415,80.93415,80.93415,80.93415,80.93415,80.93415,80.93415,80.93415,80.93415,57.70627,-22.66358,19.2677,19.2677,19.2677,19.2677,19.2677,19.2677,19.2677,19.2677,19.2677,19.2677,19.2677,0.0012,59.56964,59.56964,59.56964,59.56964,59.56964,59.56964,59.56964,59.56964,59.56964,59.56964,59.56964,59.56964,59.56964,-5.4648,2.09681,2.09681,2.09681,2.09681,2.09681,2.09681,2.09681,2.09681,2.09681,2.09681,2.09681,-1.86457
40,81.04827,101.00626,101.00626,101.00626,101.00626,101.00626,101.00626,101.00626,101.00626,101.00626,101.00626,101.00626,84.37854,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,98.99783,98.99783,98.99783,98.99783,98.99783,98.99783,98.99783,98.99783,98.99783,98.99783,98.99783,98.99783,98.99783,-5.22836,2.00963,2.00963,2.00963,2.00963,2.00963,2.00963,2.00963,2.00963,2.00963,2.00963,2.00963,-1.89809
41,162.7664,175.4876,175.4876,175.4876,175.4876,175.4876,175.4876,175.4876,175.4876,175.4876,175.4876,175.4876,162.7652,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,175.4864,175.4864,175.4864,175.4864,175.4864,175.4864,175.4864,175.4864,175.4864,175.4864,175.4864,175.4864,175.4864,0,0,0,0,0,0,0,0,0,0,0,0,0
42,90.07453,113.12382,113.12382,113.12382,113.12382,113.12382,113.12382,113.12382,113.12382,113.12382,113.12382,113.12382,90.29448,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,109.73187,109.73187,109.73187,109.73187,109.73187,109.73187,109.73187,109.73187,109.73187,109.73187,109.73187,109.73187,109.73187,-5.55614,3.39075,3.39075,3.39075,3.39075,3.39075,3.39075,3.39075,3.39075,3.39075,3.39075,3.39075,-5.33619
43,66.21712,89.84568,89.84568,89.84568,89.84568,89.84568,89.84568,89.84568,89.84568,89.84568,89.84568,89.84568,65.82546,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,87.42284,87.42284,87.42284,87.42284,87.42284,87.42284,87.42284,87.42284,87.42284,87.42284,87.42284,87.42284,87.42284,-2.49422,2.42165,2.42165,2.42165,2.42165,2.42165,2.42165,2.42165,2.42165,2.42165,2.42165,2.42165,-2.88588
